CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
86,"-$ 170,480,756.56","-$ 7,657,427.32","-$ 804,029.87","-$ 178,138,183.88","$ 563,563.87","-$ 240,465.99","$ 8,220,991.19","$ 186,877,674.00","-$ 178,701,747.75","-$240,465.99",,86,"-$ 78,323,083.71","-$ 3,518,011.84","-$ 369,391.24","-$ 81,841,095.56","$ 462,290.42","$ 92,899.18","$ 3,980,302.26","$ 90,479,312.23","-$ 82,303,385.98",,86,"-$ 37,982,454.16","-$ 1,706,045.23","-$ 179,134.75","-$ 39,688,499.39","$ 417,959.49","$ 238,824.74","$ 2,124,004.73","$ 48,282,385.14","-$ 40,106,458.89"
87,"-$ 178,701,747.75","-$ 8,026,686.84","-$ 842,802.12","-$ 186,728,434.59","$ 563,563.87","-$ 279,238.24","$ 8,590,250.71","$ 195,467,924.71","-$ 187,291,998.46","-$279,238.24",,87,"-$ 82,303,385.98","-$ 3,696,793.75","-$ 388,163.34","-$ 86,000,179.73","$ 462,290.42","$ 74,127.08","$ 4,159,084.17","$ 94,638,396.40","-$ 86,462,470.15",,87,"-$ 40,106,458.89","-$ 1,801,448.45","-$ 189,152.09","-$ 41,907,907.33","$ 417,959.49","$ 228,807.41","$ 2,219,407.94","$ 50,501,793.08","-$ 42,325,866.83"
88,"-$ 187,291,998.46","-$ 8,412,532.26","-$ 883,315.89","-$ 195,704,530.73","$ 563,563.87","-$ 319,752.01","$ 8,976,096.14","$ 204,444,020.85","-$ 196,268,094.60","-$319,752.01",,88,"-$ 86,462,470.15","-$ 3,883,605.95","-$ 407,778.62","-$ 90,346,076.10","$ 462,290.42","$ 54,511.79","$ 4,345,896.37","$ 98,984,292.77","-$ 90,808,366.52",,88,"-$ 42,325,866.83","-$ 1,901,136.85","-$ 199,619.37","-$ 44,227,003.68","$ 417,959.49","$ 218,340.12","$ 2,319,096.35","$ 52,820,889.42","-$ 44,644,963.17"
89,"-$ 196,268,094.60","-$ 8,815,708.58","-$ 925,649.40","-$ 205,083,803.19","$ 563,563.87","-$ 362,085.53","$ 9,379,272.46","$ 213,823,293.31","-$ 205,647,367.06","-$362,085.53",,89,"-$ 90,808,366.52","-$ 4,078,809.13","-$ 428,274.96","-$ 94,887,175.65","$ 462,290.42","$ 34,015.46","$ 4,541,099.55","$ 103,525,392.32","-$ 95,349,466.07",,89,"-$ 44,644,963.17","-$ 2,005,302.93","-$ 210,556.81","-$ 46,650,266.10","$ 417,959.49","$ 207,402.69","$ 2,423,262.42","$ 55,244,151.85","-$ 47,068,225.60"
90,"-$ 205,647,367.06","-$ 9,236,994.24","-$ 969,884.39","-$ 214,884,361.30","$ 563,563.87","-$ 406,320.52","$ 9,800,558.11","$ 223,623,851.42","-$ 215,447,925.17","-$406,320.52",,90,"-$ 95,349,466.07","-$ 4,282,780.18","-$ 449,691.92","-$ 99,632,246.25","$ 462,290.42","$ 12,598.50","$ 4,745,070.60","$ 108,270,462.92","-$ 100,094,536.67",,90,"-$ 47,068,225.60","-$ 2,114,147.80","-$ 221,985.52","-$ 49,182,373.40","$ 417,959.49","$ 195,973.97","$ 2,532,107.29","$ 57,776,259.14","-$ 49,600,332.89"
91,"-$ 215,447,925.17","-$ 9,677,202.64","-$ 1,016,106.28","-$ 225,125,127.81","$ 563,563.87","-$ 452,542.40","$ 10,240,766.51","$ 233,864,617.94","-$ 225,688,691.69","-$452,542.40",,91,"-$ 100,094,536.67","-$ 4,495,912.94","-$ 472,070.86","-$ 104,590,449.61","$ 462,290.42","-$ 9,780.44","$ 4,958,203.36","$ 113,228,666.28","-$ 105,052,740.03",,91,"-$ 49,600,332.89","-$ 2,227,881.62","-$ 233,927.57","-$ 51,828,214.51","$ 417,959.49","$ 184,031.92","$ 2,645,841.11","$ 60,422,100.25","-$ 52,246,174.00"
92,"-$ 225,688,691.69","-$ 10,137,183.73","-$ 1,064,404.29","-$ 235,825,875.42","$ 563,563.87","-$ 500,840.42","$ 10,700,747.61","$ 244,565,365.55","-$ 236,389,439.30","-$500,840.42",,92,"-$ 105,052,740.03","-$ 4,718,618.91","-$ 495,454.99","-$ 109,771,358.94","$ 462,290.42","-$ 33,164.57","$ 5,180,909.33","$ 118,409,575.61","-$ 110,233,649.36",,92,"-$ 52,246,174.00","-$ 2,346,723.98","-$ 246,406.02","-$ 54,592,897.98","$ 417,959.49","$ 171,553.48","$ 2,764,683.48","$ 63,186,783.73","-$ 55,010,857.48"
93,"-$ 236,389,439.30","-$ 10,617,825.65","-$ 1,114,871.69","-$ 247,007,264.94","$ 563,563.87","-$ 551,307.82","$ 11,181,389.52","$ 255,746,755.07","-$ 247,570,828.82","-$551,307.82",,93,"-$ 110,233,649.36","-$ 4,951,328.08","-$ 519,889.45","-$ 115,184,977.44","$ 462,290.42","-$ 57,599.03","$ 5,413,618.50","$ 123,823,194.11","-$ 115,647,267.86",,93,"-$ 55,010,857.48","-$ 2,470,904.35","-$ 259,444.96","-$ 57,481,761.83","$ 417,959.49","$ 158,514.54","$ 2,888,863.84","$ 66,075,647.57","-$ 57,899,721.32"
94,"-$ 247,570,828.82","-$ 11,120,056.39","-$ 1,167,605.92","-$ 258,690,885.21","$ 563,563.87","-$ 604,042.05","$ 11,683,620.27","$ 267,430,375.34","-$ 259,254,449.09","-$604,042.05",,94,"-$ 115,647,267.86","-$ 5,194,489.78","-$ 545,421.43","-$ 120,841,757.64","$ 462,290.42","-$ 83,131.01","$ 5,656,780.20","$ 129,479,974.31","-$ 121,304,048.06",,94,"-$ 57,899,721.32","-$ 2,600,662.48","-$ 273,069.56","-$ 60,500,383.80","$ 417,959.49","$ 144,889.93","$ 3,018,621.98","$ 69,094,269.55","-$ 60,918,343.30"
95,"-$ 259,254,449.09","-$ 11,644,845.67","-$ 1,222,708.80","-$ 270,899,294.76","$ 563,563.87","-$ 659,144.92","$ 12,208,409.55","$ 279,638,784.89","-$ 271,462,858.64","-$659,144.92",,95,"-$ 121,304,048.06","-$ 5,448,573.49","-$ 572,100.22","-$ 126,752,621.55","$ 462,290.42","-$ 109,809.80","$ 5,910,863.91","$ 135,390,838.22","-$ 127,214,911.97",,95,"-$ 60,918,343.30","-$ 2,736,248.92","-$ 287,306.14","-$ 63,654,592.22","$ 417,959.49","$ 130,653.36","$ 3,154,208.41","$ 72,248,477.96","-$ 64,072,551.71"
96,"-$ 271,462,858.64","-$ 12,193,206.73","-$ 1,280,286.71","-$ 283,656,065.37","$ 563,563.87","-$ 716,722.83","$ 12,756,770.61","$ 292,395,555.49","-$ 284,219,629.24","-$716,722.83",,96,"-$ 127,214,911.97","-$ 5,714,069.80","-$ 599,977.33","-$ 132,928,981.77","$ 462,290.42","-$ 137,686.91","$ 6,176,360.22","$ 141,567,198.44","-$ 133,391,272.19",,96,"-$ 64,072,551.71","-$ 2,877,925.45","-$ 302,182.17","-$ 66,950,477.16","$ 417,959.49","$ 115,777.32","$ 3,295,884.94","$ 75,544,362.90","-$ 67,368,436.65"
97,"-$ 284,219,629.24","-$ 12,766,198.35","-$ 1,340,450.83","-$ 296,985,827.59","$ 563,563.87","-$ 776,886.95","$ 13,329,762.22","$ 305,725,317.72","-$ 297,549,391.47","-$776,886.95",,97,"-$ 133,391,272.19","-$ 5,991,491.31","-$ 629,106.59","-$ 139,382,763.50","$ 462,290.42","-$ 166,816.17","$ 6,453,781.73","$ 148,020,980.17","-$ 139,845,053.92",,97,"-$ 67,368,436.65","-$ 3,025,965.61","-$ 317,726.39","-$ 70,394,402.26","$ 417,959.49","$ 100,233.10","$ 3,443,925.11","$ 78,988,288.01","-$ 70,812,361.76"
98,"-$ 297,549,391.47","-$ 13,364,926.83","-$ 1,403,317.32","-$ 310,914,318.30","$ 563,563.87","-$ 839,753.44","$ 13,928,490.71","$ 319,653,808.42","-$ 311,477,882.17","-$839,753.44",,98,"-$ 139,845,053.92","-$ 6,281,373.67","-$ 659,544.24","-$ 146,126,427.59","$ 462,290.42","-$ 197,253.82","$ 6,743,664.09","$ 154,764,644.26","-$ 146,588,718.01",,98,"-$ 70,812,361.76","-$ 3,180,655.25","-$ 333,968.80","-$ 73,993,017.01","$ 417,959.49","$ 83,990.69","$ 3,598,614.74","$ 82,586,902.75","-$ 74,410,976.50"
99,"-$ 311,477,882.17","-$ 13,990,548.21","-$ 1,469,007.56","-$ 325,468,430.38","$ 563,563.87","-$ 905,443.69","$ 14,554,112.08","$ 334,207,920.51","-$ 326,031,994.26","-$905,443.69",,99,"-$ 146,588,718.01","-$ 6,584,276.58","-$ 691,349.04","-$ 153,172,994.59","$ 462,290.42","-$ 229,058.62","$ 7,046,567.00","$ 161,811,211.26","-$ 153,635,285.01",,99,"-$ 74,410,976.50","-$ 3,342,293.03","-$ 350,940.77","-$ 77,753,269.53","$ 417,959.49","$ 67,018.73","$ 3,760,252.52","$ 86,347,155.27","-$ 78,171,229.02"
100,"-$ 326,031,994.26","-$ 14,644,270.41","-$ 1,537,648.39","-$ 340,676,264.67","$ 563,563.87","-$ 974,084.52","$ 15,207,834.28","$ 349,415,754.79","-$ 341,239,828.54","-$974,084.52",,100,"-$ 153,635,285.01","-$ 6,900,784.89","-$ 724,582.41","-$ 160,536,069.90","$ 462,290.42","-$ 262,291.99","$ 7,363,075.30","$ 169,174,286.57","-$ 160,998,360.32",,100,"-$ 78,171,229.02","-$ 3,511,191.04","-$ 368,675.06","-$ 81,682,420.06","$ 417,959.49","$ 49,284.43","$ 3,929,150.53","$ 90,276,305.80","-$ 82,100,379.55"
101,"-$ 341,239,828.54","-$ 15,327,355.63","-$ 1,609,372.34","-$ 356,567,184.17","$ 563,563.87","-$ 1,045,808.47","$ 15,890,919.51","$ 365,306,674.30","-$ 357,130,748.05","-$1,045,808.47",,101,"-$ 160,998,360.32","-$ 7,231,509.68","-$ 759,308.52","-$ 168,229,870.00","$ 462,290.42","-$ 297,018.10","$ 7,693,800.10","$ 176,868,086.67","-$ 168,692,160.42",,101,"-$ 82,100,379.55","-$ 3,687,675.38","-$ 387,205.92","-$ 85,788,054.94","$ 417,959.49","$ 30,753.58","$ 4,105,634.88","$ 94,381,940.68","-$ 86,206,014.43"
102,"-$ 357,130,748.05","-$ 16,041,122.77","-$ 1,684,317.89","-$ 373,171,870.81","$ 563,563.87","-$ 1,120,754.02","$ 16,604,686.64","$ 381,911,360.94","-$ 373,735,434.69","-$1,120,754.02",,102,"-$ 168,692,160.42","-$ 7,577,089.54","-$ 795,594.40","-$ 176,269,249.96","$ 462,290.42","-$ 333,303.98","$ 8,039,379.96","$ 184,907,466.63","-$ 176,731,540.38",,102,"-$ 86,206,014.43","-$ 3,872,086.81","-$ 406,569.12","-$ 90,078,101.24","$ 417,959.49","$ 11,390.38","$ 4,290,046.31","$ 98,671,986.99","-$ 90,496,060.74"
103,"-$ 373,735,434.69","-$ 16,786,949.94","-$ 1,762,629.74","-$ 390,522,384.63","$ 563,563.87","-$ 1,199,065.87","$ 17,350,513.82","$ 399,261,874.75","-$ 391,085,948.50","-$1,199,065.87",,103,"-$ 176,731,540.38","-$ 7,938,191.69","-$ 833,510.13","-$ 184,669,732.07","$ 462,290.42","-$ 371,219.71","$ 8,400,482.11","$ 193,307,948.74","-$ 185,132,022.49",,103,"-$ 90,496,060.74","-$ 4,064,781.39","-$ 426,802.05","-$ 94,560,842.13","$ 417,959.49","-$ 8,842.55","$ 4,482,740.89","$ 103,154,727.88","-$ 94,978,801.63"
104,"-$ 391,085,948.50","-$ 17,566,277.19","-$ 1,844,459.10","-$ 408,652,225.69","$ 563,563.87","-$ 1,280,895.23","$ 18,129,841.06","$ 417,391,715.82","-$ 409,215,789.57","-$1,280,895.23",,104,"-$ 185,132,022.49","-$ 8,315,513.34","-$ 873,128.90","-$ 193,447,535.83","$ 462,290.42","-$ 410,838.48","$ 8,777,803.76","$ 202,085,752.50","-$ 193,909,826.25",,104,"-$ 94,978,801.63","-$ 4,266,131.17","-$ 447,943.77","-$ 99,244,932.80","$ 417,959.49","-$ 29,984.28","$ 4,684,090.67","$ 107,838,818.54","-$ 99,662,892.29"
105,"-$ 409,215,789.57","-$ 18,380,609.21","-$ 1,929,963.97","-$ 427,596,398.78","$ 563,563.87","-$ 1,366,400.09","$ 18,944,173.09","$ 436,335,888.91","-$ 428,159,962.66","-$1,366,400.09",,105,"-$ 193,909,826.25","-$ 8,709,783.03","-$ 914,527.22","-$ 202,619,609.28","$ 462,290.42","-$ 452,236.80","$ 9,172,073.45","$ 211,257,825.95","-$ 203,081,899.70",,105,"-$ 99,662,892.29","-$ 4,476,524.91","-$ 470,035.12","-$ 104,139,417.21","$ 417,959.49","-$ 52,075.62","$ 4,894,484.41","$ 112,733,302.95","-$ 104,557,376.70"
106,"-$ 428,159,962.66","-$ 19,231,518.32","-$ 2,019,309.42","-$ 447,391,480.98","$ 563,563.87","-$ 1,455,745.55","$ 19,795,082.20","$ 456,130,971.10","-$ 447,955,044.85","-$1,455,745.55",,106,"-$ 203,081,899.70","-$ 9,121,761.99","-$ 957,785.01","-$ 212,203,661.70","$ 462,290.42","-$ 495,494.59","$ 9,584,052.41","$ 220,841,878.37","-$ 212,665,952.12",,106,"-$ 104,557,376.70","-$ 4,696,368.84","-$ 493,118.73","-$ 109,253,745.54","$ 417,959.49","-$ 75,159.23","$ 5,114,328.33","$ 117,847,631.28","-$ 109,671,705.03"
107,"-$ 447,955,044.85","-$ 20,120,647.43","-$ 2,112,667.98","-$ 468,075,692.29","$ 563,563.87","-$ 1,549,104.11","$ 20,684,211.31","$ 476,815,182.41","-$ 468,639,256.16","-$1,549,104.11",,107,"-$ 212,665,952.12","-$ 9,552,245.68","-$ 1,002,985.80","-$ 222,218,197.80","$ 462,290.42","-$ 540,695.38","$ 10,014,536.10","$ 230,856,414.47","-$ 222,680,488.22",,107,"-$ 109,671,705.03","-$ 4,926,087.42","-$ 517,239.18","-$ 114,597,792.45","$ 417,959.49","-$ 99,279.69","$ 5,344,046.91","$ 123,191,678.19","-$ 115,015,751.94"
108,"-$ 468,639,256.16","-$ 21,049,713.26","-$ 2,210,219.89","-$ 489,688,969.42","$ 563,563.87","-$ 1,646,656.02","$ 21,613,277.13","$ 498,428,459.54","-$ 490,252,533.29","-$1,646,656.02",,108,"-$ 222,680,488.22","-$ 10,002,065.26","-$ 1,050,216.85","-$ 232,682,553.48","$ 462,290.42","-$ 587,926.43","$ 10,464,355.68","$ 241,320,770.15","-$ 233,144,843.90",,108,"-$ 115,015,751.94","-$ 5,166,124.19","-$ 542,443.04","-$ 120,181,876.13","$ 417,959.49","-$ 124,483.55","$ 5,584,083.69","$ 128,775,761.88","-$ 120,599,835.63"
109,"-$ 490,252,533.29","-$ 22,020,509.62","-$ 2,312,153.51","-$ 512,273,042.91","$ 563,563.87","-$ 1,748,589.64","$ 22,584,073.50","$ 521,012,533.04","-$ 512,836,606.79","-$1,748,589.64",,109,"-$ 233,144,843.90","-$ 10,472,089.24","-$ 1,099,569.37","-$ 243,616,933.14","$ 462,290.42","-$ 637,278.95","$ 10,934,379.66","$ 252,255,149.81","-$ 244,079,223.56",,109,"-$ 120,599,835.63","-$ 5,416,942.62","-$ 568,778.97","-$ 126,016,778.24","$ 417,959.49","-$ 150,819.48","$ 5,834,902.11","$ 134,610,663.99","-$ 126,434,737.74"
110,"-$ 512,836,606.79","-$ 23,034,910.92","-$ 2,418,665.65","-$ 535,871,517.71","$ 563,563.87","-$ 1,855,101.77","$ 23,598,474.80","$ 544,611,007.83","-$ 536,435,081.58","-$1,855,101.77",,110,"-$ 244,079,223.56","-$ 10,963,225.12","-$ 1,151,138.64","-$ 255,042,448.68","$ 462,290.42","-$ 688,848.22","$ 11,425,515.54","$ 263,680,665.35","-$ 255,504,739.10",,110,"-$ 126,434,737.74","-$ 5,679,026.97","-$ 596,297.83","-$ 132,113,764.71","$ 417,959.49","-$ 178,338.34","$ 6,096,986.46","$ 140,707,650.45","-$ 132,531,724.20"
111,"-$ 536,435,081.58","-$ 24,094,875.75","-$ 2,529,961.95","-$ 560,529,957.33","$ 563,563.87","-$ 1,966,398.08","$ 24,658,439.62","$ 569,269,447.46","-$ 561,093,521.21","-$1,966,398.08",,111,"-$ 255,504,739.10","-$ 11,476,421.20","-$ 1,205,024.23","-$ 266,981,160.30","$ 462,290.42","-$ 742,733.81","$ 11,938,711.62","$ 275,619,376.97","-$ 267,443,450.72",,111,"-$ 132,531,724.20","-$ 5,952,883.28","-$ 625,052.74","-$ 138,484,607.48","$ 417,959.49","-$ 207,093.25","$ 6,370,842.77","$ 147,078,493.22","-$ 138,902,566.97"
112,"-$ 561,093,521.21","-$ 25,202,450.66","-$ 2,646,257.32","-$ 586,295,971.87","$ 563,563.87","-$ 2,082,693.44","$ 25,766,014.54","$ 595,035,461.99","-$ 586,859,535.74","-$2,082,693.44",,112,"-$ 267,443,450.72","-$ 12,012,668.33","-$ 1,261,330.17","-$ 279,456,119.05","$ 462,290.42","-$ 799,039.75","$ 12,474,958.75","$ 288,094,335.72","-$ 279,918,409.47",,112,"-$ 138,902,566.97","-$ 6,239,040.30","-$ 655,099.23","-$ 145,141,607.27","$ 417,959.49","-$ 237,139.74","$ 6,656,999.79","$ 153,735,493.02","-$ 145,559,566.77"
113,"-$ 586,859,535.74","-$ 26,359,774.15","-$ 2,767,776.29","-$ 613,219,309.89","$ 563,563.87","-$ 2,204,212.41","$ 26,923,338.02","$ 621,958,800.01","-$ 613,782,873.76","-$2,204,212.41",,113,"-$ 279,918,409.47","-$ 12,573,001.89","-$ 1,320,165.20","-$ 292,491,411.36","$ 462,290.42","-$ 857,874.78","$ 13,035,292.31","$ 301,129,628.03","-$ 292,953,701.78",,113,"-$ 145,559,566.77","-$ 6,538,050.54","-$ 686,495.31","-$ 152,097,617.31","$ 417,959.49","-$ 268,535.81","$ 6,956,010.03","$ 160,691,503.05","-$ 152,515,576.80"
114,"-$ 613,782,873.76","-$ 27,569,080.75","-$ 2,894,753.48","-$ 641,351,954.51","$ 563,563.87","-$ 2,331,189.60","$ 28,132,644.62","$ 650,091,444.63","-$ 641,915,518.38","-$2,331,189.60",,114,"-$ 292,953,701.78","-$ 13,158,503.77","-$ 1,381,642.90","-$ 306,112,205.55","$ 462,290.42","-$ 919,352.48","$ 13,620,794.19","$ 314,750,422.22","-$ 306,574,495.97",,114,"-$ 152,515,576.80","-$ 6,850,491.32","-$ 719,301.59","-$ 159,366,068.13","$ 417,959.49","-$ 301,342.10","$ 7,268,450.82","$ 167,959,953.87","-$ 159,784,027.62"
115,"-$ 641,915,518.38","-$ 28,832,705.37","-$ 3,027,434.06","-$ 670,748,223.75","$ 563,563.87","-$ 2,463,870.19","$ 29,396,269.24","$ 679,487,713.88","-$ 671,311,787.63","-$2,463,870.19",,115,"-$ 306,574,495.97","-$ 13,770,304.44","-$ 1,445,881.97","-$ 320,344,800.41","$ 462,290.42","-$ 983,591.55","$ 14,232,594.86","$ 328,983,017.08","-$ 320,807,090.83",,115,"-$ 159,784,027.62","-$ 7,176,965.91","-$ 753,581.42","-$ 166,960,993.53","$ 417,959.49","-$ 335,621.93","$ 7,594,925.40","$ 175,554,879.27","-$ 167,378,953.02"
116,"-$ 671,311,787.63","-$ 30,153,087.79","-$ 3,166,074.22","-$ 701,464,875.42","$ 563,563.87","-$ 2,602,510.34","$ 30,716,651.67","$ 710,204,365.55","-$ 702,028,439.30","-$2,602,510.34",,116,"-$ 320,807,090.83","-$ 14,409,585.16","-$ 1,513,006.44","-$ 335,216,676.00","$ 462,290.42","-$ 1,050,716.02","$ 14,871,875.58","$ 343,854,892.67","-$ 335,678,966.42",,116,"-$ 167,378,953.02","-$ 7,518,104.64","-$ 789,400.99","-$ 174,897,057.66","$ 417,959.49","-$ 371,441.49","$ 7,936,064.13","$ 183,490,943.41","-$ 175,315,017.16"
117,"-$ 702,028,439.30","-$ 31,532,777.40","-$ 3,310,941.63","-$ 733,561,216.69","$ 563,563.87","-$ 2,747,377.75","$ 32,096,341.27","$ 742,300,706.82","-$ 734,124,780.57","-$2,747,377.75",,117,"-$ 335,678,966.42","-$ 15,077,580.24","-$ 1,583,145.93","-$ 350,756,546.66","$ 462,290.42","-$ 1,120,855.51","$ 15,539,870.66","$ 359,394,763.33","-$ 351,218,837.08",,117,"-$ 175,315,017.16","-$ 7,874,566.19","-$ 826,829.45","-$ 183,189,583.34","$ 417,959.49","-$ 408,869.96","$ 8,292,525.68","$ 191,783,469.09","-$ 183,607,542.84"
118,"-$ 734,124,780.57","-$ 32,974,438.06","-$ 3,462,316.00","-$ 767,099,218.63","$ 563,563.87","-$ 2,898,752.12","$ 33,538,001.94","$ 775,838,708.75","-$ 767,662,782.50","-$2,898,752.12",,118,"-$ 351,218,837.08","-$ 15,775,579.43","-$ 1,656,435.84","-$ 366,994,416.51","$ 462,290.42","-$ 1,194,145.42","$ 16,237,869.85","$ 375,632,633.18","-$ 367,456,706.93",,118,"-$ 183,607,542.84","-$ 8,247,038.80","-$ 865,939.07","-$ 191,854,581.64","$ 417,959.49","-$ 447,979.58","$ 8,664,998.29","$ 200,448,467.38","-$ 192,272,541.13"
119,"-$ 767,662,782.50","-$ 34,480,853.31","-$ 3,620,489.60","-$ 802,143,635.82","$ 563,563.87","-$ 3,056,925.72","$ 35,044,417.19","$ 810,883,125.94","-$ 802,707,199.69","-$3,056,925.72",,119,"-$ 367,456,706.93","-$ 16,504,930.42","-$ 1,733,017.69","-$ 383,961,637.35","$ 462,290.42","-$ 1,270,727.27","$ 16,967,220.84","$ 392,599,854.02","-$ 384,423,927.77",,119,"-$ 192,272,541.13","-$ 8,636,241.64","-$ 906,805.37","-$ 200,908,782.77","$ 417,959.49","-$ 488,845.88","$ 9,054,201.13","$ 209,502,668.51","-$ 201,326,742.26"
120,"-$ 802,707,199.69","-$ 36,054,931.72","-$ 3,785,767.83","-$ 838,762,131.41","$ 563,563.87","-$ 3,222,203.96","$ 36,618,495.59","$ 847,501,621.54","-$ 839,325,695.29","-$3,222,203.96",,120,"-$ 384,423,927.77","-$ 17,267,041.42","-$ 1,813,039.35","-$ 401,690,969.19","$ 462,290.42","-$ 1,350,748.93","$ 17,729,331.84","$ 410,329,185.86","-$ 402,153,259.61",,120,"-$ 201,326,742.26","-$ 9,042,926.17","-$ 949,507.25","-$ 210,369,668.44","$ 417,959.49","-$ 531,547.75","$ 9,460,885.67","$ 218,963,554.18","-$ 210,787,627.93"
TOTAL, ,"-$ 779,873,956.55","-$ 81,886,765.44", ,"$ 67,627,664.99","-$ 14,259,100.45","$ 847,501,621.54", , ,,,TOTAL, ,"-$ 354,854,335.52","-$ 37,259,705.23", ,"$ 55,474,850.34","$ 18,215,145.11","$ 410,329,185.86", , ,,TOTAL, ,"-$ 168,808,414.92","-$ 17,724,883.57", ,"$ 50,155,139.26","$ 32,430,255.69","$ 218,963,554.18", , 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) El importe de la cuota final podr variar por la incidencia de impuestos (segn la situacin fiscal del cliente) no contemplados en el presente, o por la",,,,,,,,,,,,"(1) El importe de la cuota final podr variar por la incidencia de impuestos (segn la situacin fiscal del cliente) no contemplados en el presente, o por la",,,,,,,,,,,"(1) El importe de la cuota final podr variar por la incidencia de impuestos (segn la situacin fiscal del cliente) no contemplados en el presente, o por la",,,,,,,,,
variacin en el clculo de intereses segn el da de otorgamiento definitivo.,,,,,,,,,,,,variacin en el clculo de intereses segn el da de otorgamiento definitivo.,,,,,,,,,,,variacin en el clculo de intereses segn el da de otorgamiento definitivo.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los resultados obtenidos en este documento no son vlidos como propuesta ni obligacin del Banco de otorgamiento del crdito, representando solamente",,,,,,,,,,,,"Los resultados obtenidos en este documento no son vlidos como propuesta ni obligacin del Banco de otorgamiento del crdito, representando solamente",,,,,,,,,,,"Los resultados obtenidos en este documento no son vlidos como propuesta ni obligacin del Banco de otorgamiento del crdito, representando solamente",,,,,,,,,
"una simulacin con fines orientativos. Las tasas, plazos y dems condiciones pueden ser modificadas y solo tienen validez para el da de emisin de la presente cotizacin.",,,,,,,,,,,,"una simulacin con fines orientativos. Las tasas, plazos y dems condiciones pueden ser modificadas y solo tienen validez para el da de emisin de la presente cotizacin.",,,,,,,,,,,"una simulacin con fines orientativos. Las tasas, plazos y dems condiciones pueden ser modificadas y solo tienen validez para el da de emisin de la presente cotizacin.",,,,,,,,,
Las operaciones de crdito estn sujetas a anlisis y aprobacin por parte de Banco Ro.,,,,,,,,,,,,Las operaciones de crdito estn sujetas a anlisis y aprobacin por parte de Banco Ro.,,,,,,,,,,,Las operaciones de crdito estn sujetas a anlisis y aprobacin por parte de Banco Ro.,,,,,,,,,